hhid	pid	sim_id	mobile_sim_ownership	mobile_sim_access	nb_handsets	network	contract	airtime_expt	calls_per_day	coverage	first_usage_m	first_usage_y	reason_multiple1	reason_multiple2	reason_multiple_other	reason_separate	reason_separate_other
1262050.0	1	1	1		1	1	2	3000	20	2	1	2002					
1262047.0	2	1	1		1	2	2	1300	3	1	1	2004					
1262085.0	3	1	1		2	1	2	1000	999	1	5	2005	1				
1262085.0	3	2	1		2	2	2	300	999	1	5	2005	1				
1262082.0	1	1	1		1	2	2	450	3	1	5	2004					
1262072.0	1	1	2	1		1	2	6000	10	2	1	2001					
1262021.0	1	1	1		1	1	2	500	2	1	11	2005					
1262060.0	1	1	1		1	1	2	3000	10	1	3	2003					
1262077.0	3	1	1		1	1	2	2000	10	1	4	2001					
1289080.0	2	1	1		1	1	2	600	4	1	7	2005					
1289064.0	2	1	1		1	1	2	1500	10	1	99	2000					
1289032.0	2	1	1		1	1	2	200	3	1	9	2007					
1289056.0	2	1	2	1		1	2	750	2	1	99	2006					
